best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
158,0.870298,0.001444,0.895086,0.894843,0.013289,986.915,8025
187,0.881131,0.001360,0.901219,0.900804,0.011525,1162.355,8026
142,0.867915,0.001461,0.893883,0.893414,0.012537,927.420,8027
94,0.849260,0.001600,0.883797,0.883298,0.013278,745.768,8028
145,0.862912,0.001557,0.886882,0.886383,0.012960,906.278,8029
158,0.880354,0.001455,0.894337,0.893869,0.012278,986.416,8030
155,0.864393,0.001399,0.898407,0.897810,0.011867,1007.095,8031
138,0.863358,0.001509,0.890391,0.889749,0.012862,906.004,8032
160,0.872142,0.001369,0.900568,0.900312,0.012303,1000.848,8033
185,0.872116,0.001380,0.899751,0.899455,0.012438,1149.621,8034
