best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
106,0.714858,0.004124,0.683965,0.683727,0.035609,211.273,2525
59,0.715424,0.004100,0.685739,0.685576,0.035154,170.255,2526
61,0.715915,0.004096,0.686086,0.685907,0.035038,184.877,2527
36,0.715387,0.004126,0.683769,0.683543,0.035438,148.267,2528
60,0.715676,0.004083,0.687089,0.686922,0.035007,186.855,2529
69,0.715224,0.004076,0.687623,0.687458,0.034618,180.006,2530
64,0.715398,0.004067,0.688272,0.688068,0.035078,182.692,2531
57,0.715489,0.004107,0.685236,0.685021,0.035433,167.184,2532
91,0.714665,0.004184,0.679352,0.679108,0.036412,207.677,2533
50,0.714979,0.004125,0.683835,0.683606,0.036072,174.390,2534
