best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
154,0.851352,0.001775,0.863959,0.862432,0.017054,2233.355,38025
140,0.837863,0.001945,0.850966,0.849208,0.018537,2117.372,38026
133,0.874254,0.001470,0.887346,0.886220,0.013783,2105.581,38027
151,0.825586,0.001990,0.847455,0.845588,0.019661,2184.811,38028
155,0.840180,0.002088,0.839983,0.837995,0.020432,2237.315,38029
117,0.795866,0.002620,0.799221,0.796685,0.025204,1692.430,38030
101,0.808516,0.002281,0.825163,0.822943,0.021829,1722.448,38031
179,0.838402,0.002093,0.839588,0.837489,0.020664,2643.269,38032
153,0.860578,0.001684,0.870953,0.869472,0.015127,2197.949,38033
145,0.820713,0.002253,0.827360,0.824862,0.023511,2083.929,38034
