best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
143,0.344487,0.008520,0.356398,0.353393,0.050635,429.886,2825
111,0.346677,0.008367,0.367998,0.364901,0.050632,384.619,2826
125,0.349950,0.008453,0.361451,0.358482,0.051975,390.293,2827
149,0.348643,0.008431,0.363125,0.360000,0.050174,458.351,2828
147,0.350929,0.008476,0.359761,0.356644,0.051684,473.972,2829
110,0.344203,0.008460,0.360975,0.358094,0.050652,401.231,2830
130,0.348566,0.008538,0.355027,0.352144,0.053436,431.029,2831
93,0.353018,0.008390,0.366199,0.363335,0.047786,409.723,2832
148,0.345743,0.008445,0.362038,0.359058,0.050567,447.013,2833
148,0.348148,0.008482,0.359272,0.356446,0.051445,451.666,2834
