best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
128,0.337200,0.008742,0.339616,0.336131,0.057685,925.605,6025
142,0.366827,0.008645,0.346945,0.343837,0.058182,984.325,6026
140,0.357835,0.008753,0.338838,0.335843,0.057011,1003.567,6027
141,0.335292,0.008752,0.338906,0.335104,0.056126,976.762,6028
143,0.327125,0.008772,0.337362,0.334042,0.053878,989.453,6029
113,0.340327,0.008823,0.333496,0.329490,0.055277,947.023,6030
103,0.340259,0.008513,0.356967,0.353266,0.055234,922.713,6031
177,0.351862,0.008872,0.329779,0.326454,0.056909,1214.923,6032
102,0.331904,0.008919,0.326252,0.322454,0.055947,755.335,6033
129,0.335219,0.008733,0.340306,0.337171,0.057244,892.643,6034
