best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
61,0.874027,0.001907,0.852149,0.851639,0.018958,1823.868,47025
91,0.865103,0.002010,0.844194,0.843400,0.021241,1919.212,47026
64,0.862472,0.002130,0.834831,0.834130,0.022747,1766.172,47027
72,0.858292,0.002114,0.836072,0.835348,0.022100,2000.053,47028
80,0.858813,0.002100,0.837193,0.836349,0.022439,1734.463,47029
82,0.861246,0.002041,0.841774,0.841275,0.022159,1865.130,47030
114,0.876101,0.001734,0.865531,0.864999,0.018498,2093.299,47031
130,0.871080,0.001841,0.857296,0.856817,0.019334,2480.492,47032
84,0.856906,0.002106,0.836699,0.836064,0.021524,2021.226,47033
93,0.873080,0.001859,0.855863,0.854849,0.020373,2079.169,47034
