best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
121,0.840940,0.002902,0.774981,0.773749,0.029677,1119.550,8025
132,0.843850,0.002560,0.801552,0.800445,0.031604,1110.488,8026
161,0.854444,0.002237,0.826541,0.825858,0.025212,1355.592,8027
160,0.840013,0.002766,0.785559,0.784709,0.033356,1233.055,8028
126,0.845585,0.002442,0.810688,0.809879,0.027431,1196.700,8029
151,0.836404,0.002662,0.793599,0.792541,0.032750,1157.136,8030
182,0.841699,0.002415,0.812768,0.812271,0.026060,1377.961,8031
169,0.844636,0.002595,0.798780,0.797697,0.031319,1247.599,8032
139,0.848423,0.002128,0.834981,0.834622,0.022588,1158.849,8033
173,0.844958,0.002510,0.805373,0.804532,0.029449,1361.491,8034
