best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
108,0.406195,0.008600,0.350354,0.348747,0.059843,334.804,2225
111,0.401441,0.008455,0.361304,0.359769,0.061934,313.752,2226
138,0.385020,0.008709,0.342136,0.340364,0.059812,378.789,2227
183,0.347022,0.009245,0.301629,0.299125,0.055749,409.352,2228
148,0.349900,0.008929,0.325502,0.323401,0.054116,335.760,2229
125,0.363155,0.008496,0.358207,0.357074,0.063209,322.588,2230
86,0.405397,0.008481,0.359368,0.358057,0.058497,292.413,2231
88,0.393424,0.008242,0.377443,0.376399,0.055672,283.307,2232
160,0.315036,0.009398,0.290097,0.287124,0.059756,372.992,2233
130,0.313221,0.009528,0.280267,0.277664,0.055797,288.930,2234
