best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
197,0.884300,0.001537,0.882173,0.881087,0.014069,831.048,6025
129,0.822186,0.002350,0.819910,0.818758,0.021109,532.620,6026
117,0.785825,0.002855,0.781191,0.780101,0.026673,490.518,6027
207,0.860625,0.001778,0.863762,0.862772,0.016512,840.058,6028
189,0.877640,0.001606,0.876910,0.875922,0.015161,768.222,6029
112,0.772405,0.002970,0.772376,0.771180,0.027632,461.824,6030
87,0.771579,0.002958,0.773322,0.772204,0.027244,360.698,6031
88,0.776098,0.002896,0.778058,0.776939,0.026453,366.773,6032
75,0.776018,0.002925,0.775851,0.774787,0.026582,383.558,6033
192,0.885325,0.001507,0.884509,0.883574,0.014398,762.365,6034
