best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
180,0.334420,0.008870,0.329941,0.326250,0.056590,1324.903,10025
155,0.322975,0.008928,0.325567,0.322111,0.057993,1145.206,10026
132,0.332603,0.008675,0.344691,0.341146,0.057753,1105.079,10027
196,0.355911,0.008776,0.337052,0.333503,0.064056,1426.194,10028
151,0.321712,0.008892,0.328267,0.324763,0.056633,1099.573,10029
143,0.325225,0.009004,0.319855,0.316348,0.055288,1061.539,10030
141,0.298978,0.009247,0.301471,0.298141,0.053438,1017.806,10031
124,0.320766,0.008924,0.325885,0.322622,0.058532,1050.997,10032
141,0.324441,0.009069,0.314948,0.311256,0.058716,1044.435,10033
140,0.325694,0.008767,0.337742,0.334552,0.059147,1124.096,10034
