best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
149,0.878175,0.001791,0.862706,0.861608,0.016697,479.679,5025
141,0.875567,0.001566,0.879978,0.878748,0.013688,461.127,5026
201,0.878736,0.001435,0.890011,0.889005,0.012794,646.948,5027
209,0.878400,0.001666,0.872299,0.871218,0.015022,681.973,5028
184,0.886889,0.001514,0.883930,0.882812,0.012944,657.650,5029
178,0.878699,0.001488,0.885950,0.884842,0.013174,585.149,5030
196,0.873346,0.001657,0.873016,0.871861,0.015086,639.921,5031
155,0.860338,0.001785,0.863186,0.862057,0.016040,510.389,5032
141,0.836915,0.002066,0.841694,0.840405,0.018400,465.273,5033
119,0.831093,0.002173,0.833493,0.832194,0.018516,400.560,5034
