best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
184,0.884157,0.001361,0.901151,0.901518,0.012138,1680.734,26025
135,0.892523,0.001372,0.900324,0.900111,0.010794,1361.862,26026
126,0.885682,0.001278,0.907184,0.907468,0.011854,1233.719,26027
128,0.875528,0.001386,0.899298,0.899302,0.012145,1316.646,26028
117,0.876918,0.001475,0.892859,0.892819,0.012237,1207.952,26029
128,0.877698,0.001481,0.892434,0.892572,0.013442,1147.982,26030
106,0.883938,0.001424,0.896557,0.896783,0.012734,1061.355,26031
139,0.881337,0.001397,0.898562,0.898632,0.011593,1238.762,26032
120,0.875081,0.001325,0.903773,0.903975,0.012069,1123.281,26033
122,0.884983,0.001448,0.894799,0.894633,0.011752,1192.980,26034
