best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
138,0.389153,0.008314,0.371929,0.368713,0.059065,1589.966,14025
154,0.400516,0.008252,0.376673,0.373548,0.057566,1760.964,14026
71,0.351333,0.008586,0.351455,0.349487,0.052111,1196.914,14027
82,0.369528,0.008805,0.334901,0.331900,0.057030,1189.962,14028
77,0.371403,0.008462,0.360779,0.357935,0.052959,1198.534,14029
148,0.395247,0.008687,0.343824,0.340277,0.060984,1625.840,14030
117,0.397558,0.008297,0.373279,0.370554,0.060135,1429.010,14031
86,0.379933,0.008787,0.336212,0.332408,0.061852,1228.429,14032
92,0.376159,0.008246,0.377127,0.374919,0.057384,1292.666,14033
94,0.379579,0.008750,0.339041,0.336149,0.059723,1315.711,14034
