best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
114,0.877157,0.001602,0.875786,0.874854,0.017336,1896.573,15025
85,0.885864,0.001626,0.873906,0.872802,0.018533,1499.826,15026
106,0.873598,0.001491,0.884413,0.883320,0.016627,1786.229,15027
108,0.880041,0.001522,0.882018,0.880778,0.017068,1734.292,15028
86,0.874662,0.001505,0.883349,0.882459,0.015215,1762.650,15029
70,0.874626,0.001574,0.877999,0.876755,0.016716,1540.018,15030
81,0.883337,0.001767,0.863005,0.861957,0.019046,1524.521,15031
78,0.865001,0.001824,0.858599,0.857029,0.019807,1652.917,15032
86,0.868278,0.001589,0.876762,0.875362,0.018124,1678.458,15033
115,0.876409,0.001698,0.868340,0.867348,0.018109,1914.364,15034
