best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
112,0.792862,0.002844,0.779470,0.779824,0.029539,294.740,2425
103,0.794351,0.002817,0.781571,0.782045,0.028758,313.724,2426
133,0.796784,0.002868,0.777613,0.777889,0.030384,342.358,2427
122,0.793951,0.002833,0.780349,0.780761,0.029404,318.701,2428
118,0.790781,0.002849,0.779123,0.779480,0.029497,291.833,2429
131,0.791557,0.002837,0.780050,0.780288,0.030072,324.822,2430
136,0.795160,0.002834,0.780280,0.780581,0.029737,332.953,2431
149,0.794689,0.002819,0.781403,0.781728,0.029778,366.944,2432
113,0.786976,0.002867,0.777711,0.778196,0.028835,283.497,2433
127,0.797563,0.002853,0.778798,0.779077,0.029565,343.668,2434
