best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
132,0.815446,0.003628,0.718674,0.716332,0.033718,1114.315,10025
169,0.817247,0.003482,0.730012,0.727570,0.035846,1293.570,10026
134,0.798672,0.003855,0.701090,0.698895,0.036738,1131.255,10027
138,0.827033,0.003334,0.741507,0.739179,0.034339,1199.791,10028
144,0.816553,0.003614,0.719826,0.717363,0.036140,1115.787,10029
177,0.831969,0.003188,0.752799,0.750279,0.031574,1351.981,10030
153,0.807664,0.003677,0.714902,0.713283,0.036396,1135.903,10031
180,0.828725,0.003070,0.761998,0.759748,0.032292,1329.679,10032
149,0.804658,0.003803,0.705165,0.702960,0.037211,1133.415,10033
170,0.813112,0.003694,0.713621,0.710745,0.038251,1309.708,10034
