best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
129,0.868553,0.001467,0.893471,0.893169,0.012492,1862.897,38025
133,0.884465,0.001297,0.905828,0.905926,0.011367,1999.816,38026
137,0.878187,0.001392,0.898886,0.898904,0.011347,1977.407,38027
153,0.883552,0.001312,0.904699,0.904764,0.011466,2197.055,38028
95,0.868656,0.001557,0.886918,0.886920,0.013872,1814.989,38029
140,0.871377,0.001710,0.875773,0.875778,0.015015,2100.487,38030
122,0.880351,0.001402,0.898198,0.898266,0.012534,1930.129,38031
105,0.872139,0.001414,0.897314,0.897268,0.012277,1869.927,38032
107,0.882058,0.001477,0.892705,0.892779,0.012580,1901.686,38033
128,0.874534,0.001493,0.891549,0.891586,0.013660,2024.510,38034
