best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
85,0.881287,0.001848,0.856730,0.855256,0.019840,1750.498,20025
69,0.867719,0.001861,0.855683,0.855013,0.020068,1527.371,20026
103,0.869600,0.001790,0.861209,0.860273,0.018004,1825.585,20027
39,0.860704,0.001917,0.851358,0.850623,0.020077,1370.050,20028
108,0.872325,0.001634,0.873294,0.872377,0.016878,1724.008,20029
55,0.877424,0.001891,0.853400,0.852432,0.018496,1405.810,20030
67,0.876000,0.001737,0.865330,0.863965,0.018787,1491.721,20031
53,0.868897,0.001869,0.855100,0.854556,0.018715,1381.116,20032
65,0.861495,0.001880,0.854221,0.853463,0.018213,1629.125,20033
80,0.875572,0.001586,0.877020,0.876356,0.016282,1504.021,20034
