best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
90,0.864071,0.001878,0.854398,0.853036,0.019463,755.971,5025
112,0.859622,0.001902,0.852536,0.851095,0.018847,746.984,5026
88,0.867728,0.001902,0.852502,0.851336,0.018372,784.954,5027
95,0.868502,0.001997,0.845146,0.843854,0.020364,760.486,5028
83,0.867608,0.002172,0.831630,0.830114,0.022795,648.894,5029
96,0.863461,0.002052,0.840907,0.839517,0.020352,689.616,5030
74,0.863469,0.002150,0.833273,0.831779,0.020608,703.969,5031
95,0.865439,0.001928,0.850552,0.849205,0.019867,718.545,5032
133,0.857262,0.002079,0.838840,0.837377,0.021207,791.831,5033
86,0.866418,0.001874,0.854704,0.853462,0.018389,700.797,5034
