best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
133,0.351001,0.008717,0.341515,0.338067,0.062664,860.224,5525
140,0.334801,0.008770,0.337529,0.334415,0.058019,932.479,5526
121,0.365621,0.008544,0.354567,0.351724,0.061716,959.818,5527
148,0.367671,0.008510,0.357175,0.354479,0.060547,980.033,5528
74,0.346935,0.008311,0.372166,0.368755,0.056958,698.481,5529
85,0.328315,0.008644,0.347059,0.344003,0.059709,728.954,5530
74,0.332857,0.008611,0.349526,0.345650,0.059252,696.757,5531
130,0.348703,0.008694,0.343276,0.340100,0.059100,859.584,5532
122,0.357474,0.008615,0.349196,0.346426,0.058917,807.984,5533
93,0.339901,0.008295,0.373374,0.369954,0.057248,776.519,5534
