best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
138,0.748060,0.003042,0.766851,0.766176,0.026754,285.789,3025
174,0.765689,0.003200,0.754776,0.754057,0.028884,365.559,3026
143,0.793233,0.002716,0.791826,0.791150,0.024470,303.489,3027
153,0.751964,0.003191,0.755454,0.754125,0.028207,332.030,3028
151,0.786218,0.002835,0.782683,0.782024,0.024716,337.134,3029
166,0.790251,0.002823,0.783616,0.783091,0.024982,351.338,3030
133,0.781242,0.002851,0.781529,0.780789,0.025281,284.923,3031
125,0.744676,0.003194,0.755197,0.754196,0.026904,280.460,3032
166,0.797340,0.002625,0.798778,0.798011,0.023393,367.411,3033
131,0.750330,0.003132,0.759949,0.759103,0.026472,318.218,3034
