best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
132,0.831785,0.002235,0.837673,0.838205,0.020134,294.922,3025
124,0.836623,0.002152,0.843676,0.844184,0.020029,285.578,3026
124,0.846322,0.002132,0.845172,0.845407,0.019584,284.979,3027
156,0.844514,0.002161,0.843068,0.843291,0.020103,326.094,3028
115,0.831180,0.002179,0.841718,0.842263,0.020321,253.555,3029
157,0.848925,0.002229,0.838069,0.838090,0.020803,339.159,3030
142,0.840599,0.002099,0.847556,0.848161,0.019644,298.439,3031
110,0.833649,0.002207,0.839712,0.840269,0.020494,268.857,3032
143,0.838595,0.002098,0.847632,0.848060,0.019930,289.037,3033
139,0.847391,0.002126,0.845604,0.845899,0.020480,296.862,3034
