best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
108,0.347293,0.008520,0.356374,0.354325,0.057631,1584.940,20025
111,0.354484,0.008191,0.381260,0.379002,0.055869,1626.026,20026
89,0.352955,0.008364,0.368211,0.365753,0.058085,1650.500,20027
88,0.359696,0.008377,0.367209,0.365414,0.056910,1628.195,20028
92,0.364693,0.008390,0.366200,0.364263,0.057060,1685.222,20029
142,0.399615,0.008241,0.377465,0.374762,0.056574,2203.359,20030
129,0.363253,0.008663,0.345602,0.343856,0.059106,1863.023,20031
133,0.363952,0.008365,0.368139,0.365760,0.057026,1919.396,20032
117,0.356437,0.008331,0.370660,0.368385,0.054354,1774.578,20033
100,0.346808,0.008219,0.379138,0.376250,0.057342,1626.935,20034
