best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
174,0.885818,0.001303,0.905336,0.904950,0.010728,3063.888,44025
130,0.872274,0.001530,0.888857,0.888552,0.012909,2625.342,44026
163,0.884644,0.001380,0.899787,0.899620,0.011681,2981.285,44027
151,0.877590,0.001396,0.898601,0.898195,0.010800,2780.494,44028
173,0.867195,0.001391,0.898950,0.898399,0.011822,3046.335,44029
176,0.888653,0.001231,0.910610,0.910318,0.011277,3103.868,44030
172,0.886202,0.001400,0.898283,0.898188,0.012135,3013.212,44031
155,0.885060,0.001397,0.898547,0.898246,0.011419,2728.342,44032
139,0.873900,0.001503,0.890810,0.890559,0.013192,2469.842,44033
159,0.865886,0.001476,0.892795,0.892404,0.012164,2802.206,44034
