best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
153,0.880531,0.001762,0.864921,0.863766,0.015817,1050.440,20025
131,0.865733,0.001999,0.846816,0.845678,0.018295,892.326,20026
171,0.879002,0.001717,0.868426,0.867223,0.016136,1151.845,20027
130,0.875113,0.001774,0.864038,0.862860,0.017041,925.620,20028
164,0.895841,0.001369,0.895045,0.894359,0.013055,1107.083,20029
154,0.870249,0.001858,0.857575,0.856359,0.017079,1032.724,20030
198,0.896601,0.001532,0.882612,0.881691,0.014103,1318.256,20031
167,0.889230,0.001458,0.888233,0.887319,0.012840,1128.143,20032
109,0.860649,0.002008,0.846086,0.844905,0.017929,786.348,20033
124,0.880943,0.001855,0.857861,0.856712,0.017384,843.737,20034
