best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
125,0.867976,0.001942,0.849413,0.848347,0.021237,958.732,6525
111,0.867599,0.001899,0.852742,0.851925,0.020253,987.259,6526
139,0.879596,0.001993,0.845459,0.844136,0.021559,1114.642,6527
148,0.870427,0.002002,0.844745,0.843775,0.020774,1145.579,6528
164,0.874448,0.002317,0.820355,0.818971,0.025764,1205.216,6529
126,0.871775,0.001902,0.852513,0.851942,0.019291,1022.413,6530
128,0.870366,0.001993,0.845454,0.844211,0.021748,1116.576,6531
152,0.869301,0.001959,0.848087,0.846907,0.021543,1077.615,6532
145,0.872872,0.001913,0.851653,0.850681,0.019844,1071.112,6533
139,0.870965,0.001930,0.850328,0.849231,0.020915,1112.006,6534
