best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
141,0.858959,0.001858,0.855960,0.855163,0.021214,1012.055,6025
132,0.852421,0.001840,0.857317,0.856298,0.019224,879.272,6026
122,0.867960,0.001775,0.862346,0.861430,0.019580,929.297,6027
160,0.858247,0.001879,0.854288,0.853278,0.020577,1134.103,6028
118,0.851632,0.001984,0.846212,0.844837,0.021484,984.157,6029
139,0.854948,0.001793,0.861006,0.859940,0.019297,927.260,6030
116,0.851823,0.001877,0.854456,0.853594,0.018967,891.905,6031
93,0.854490,0.002037,0.842041,0.840831,0.022333,824.784,6032
106,0.853013,0.001945,0.849220,0.848058,0.021050,828.916,6033
168,0.866251,0.001858,0.855977,0.855010,0.020522,1112.052,6034
