best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
148,0.851348,0.002307,0.823183,0.821763,0.024511,326.215,3525
181,0.835857,0.002559,0.803891,0.802646,0.027624,398.416,3526
186,0.854730,0.002010,0.845981,0.845020,0.021619,394.976,3527
161,0.829218,0.002625,0.798848,0.797782,0.028178,359.079,3528
174,0.844812,0.002099,0.839141,0.838067,0.022220,392.506,3529
148,0.856250,0.002007,0.846161,0.845168,0.022620,333.263,3530
158,0.854541,0.002009,0.846055,0.845102,0.022483,353.998,3531
154,0.841717,0.002427,0.813967,0.812993,0.025671,348.029,3532
186,0.856542,0.001991,0.847414,0.846412,0.022359,410.484,3533
164,0.845325,0.002396,0.816399,0.815134,0.024796,354.158,3534
