best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
182,0.413544,0.008155,0.383976,0.381220,0.051607,509.384,2625
127,0.414504,0.007931,0.400865,0.397881,0.050215,393.370,2626
108,0.383858,0.008209,0.379872,0.377249,0.048294,343.678,2627
122,0.374913,0.008313,0.372007,0.369245,0.048322,332.544,2628
143,0.384490,0.008181,0.382003,0.378996,0.049510,449.198,2629
188,0.415109,0.008117,0.386833,0.384187,0.053473,506.160,2630
129,0.403112,0.008085,0.389291,0.386793,0.050854,381.682,2631
206,0.415453,0.008284,0.374214,0.371436,0.053411,551.337,2632
88,0.378126,0.008330,0.370749,0.368449,0.046630,307.429,2633
114,0.368924,0.008261,0.375990,0.373437,0.045645,339.127,2634
