best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
118,0.818099,0.002216,0.830140,0.828310,0.019725,2668.129,44025
90,0.814707,0.002356,0.819411,0.817328,0.021438,2189.768,44026
92,0.809415,0.002290,0.824509,0.822840,0.020404,1914.232,44027
126,0.815963,0.002438,0.813137,0.811146,0.021831,2613.852,44028
110,0.808183,0.002362,0.818966,0.817044,0.021115,2027.174,44029
94,0.804075,0.002381,0.817483,0.816007,0.021504,2051.344,44030
104,0.801558,0.002519,0.806971,0.804875,0.022441,2013.873,44031
164,0.843490,0.002107,0.838550,0.836650,0.019951,2953.853,44032
163,0.823285,0.002410,0.815300,0.813444,0.021904,2938.115,44033
139,0.852024,0.001763,0.864904,0.863302,0.016606,2731.157,44034
