best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
119,0.330225,0.008099,0.388198,0.385325,0.049834,2200.601,26025
115,0.334832,0.007936,0.400538,0.397313,0.052117,1944.599,26026
114,0.355300,0.007908,0.402651,0.399354,0.052678,2018.828,26027
112,0.335318,0.008187,0.381578,0.378166,0.056122,2092.995,26028
150,0.370667,0.007948,0.399593,0.396422,0.055271,2504.377,26029
117,0.342071,0.008039,0.392708,0.388959,0.052981,2165.950,26030
117,0.351937,0.007875,0.405132,0.402054,0.053269,1973.474,26031
129,0.343594,0.007858,0.406387,0.402979,0.053357,2164.192,26032
111,0.344751,0.007815,0.409682,0.406323,0.052313,2168.091,26033
138,0.358159,0.007948,0.399649,0.396571,0.053969,2315.077,26034
