best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
99,0.855671,0.001925,0.850712,0.849655,0.020315,797.663,5525
132,0.856379,0.001761,0.863438,0.862496,0.018720,902.945,5526
119,0.862965,0.001988,0.845864,0.844256,0.022226,941.915,5527
112,0.858394,0.001891,0.853378,0.852008,0.019658,893.724,5528
96,0.858879,0.001936,0.849914,0.848630,0.020181,829.765,5529
94,0.863309,0.001923,0.850867,0.849495,0.020614,891.282,5530
102,0.857108,0.001852,0.856384,0.854972,0.020334,828.713,5531
124,0.864074,0.001835,0.857764,0.856382,0.019853,968.929,5532
128,0.868055,0.001790,0.861195,0.859685,0.019152,953.142,5533
95,0.858242,0.001884,0.853898,0.852795,0.019928,897.109,5534
