best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
117,0.351751,0.008654,0.346309,0.343050,0.060431,2299.087,56025
104,0.337558,0.008399,0.365531,0.363204,0.058751,2388.172,56026
99,0.357845,0.008842,0.332101,0.329430,0.059219,2405.387,56027
185,0.352477,0.008677,0.344560,0.341489,0.064028,3392.408,56028
162,0.354595,0.008748,0.339166,0.335859,0.065800,2975.200,56029
121,0.348782,0.008921,0.326125,0.323170,0.063004,2455.404,56030
93,0.340424,0.009042,0.316971,0.314426,0.060094,2286.674,56031
78,0.328962,0.008796,0.335591,0.332792,0.059227,2233.565,56032
143,0.349229,0.008516,0.356706,0.354052,0.064004,2639.984,56033
120,0.362420,0.008757,0.338483,0.335809,0.062982,2659.134,56034
