best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
134,0.354328,0.008141,0.385031,0.382486,0.058760,732.495,4225
96,0.348504,0.008346,0.369574,0.367234,0.058626,632.026,4226
138,0.364358,0.008284,0.374216,0.371807,0.058404,754.577,4227
138,0.363772,0.008154,0.384044,0.381162,0.057100,752.774,4228
104,0.353531,0.008179,0.382130,0.379533,0.058075,641.643,4229
101,0.336002,0.008251,0.376762,0.374108,0.057196,624.100,4230
105,0.368334,0.008405,0.365102,0.362429,0.058251,667.638,4231
152,0.360154,0.008310,0.372301,0.369610,0.057943,824.746,4232
115,0.348195,0.007951,0.399353,0.396794,0.055881,691.827,4233
126,0.350469,0.008376,0.367278,0.364521,0.059748,661.364,4234
