best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
78,0.295526,0.008800,0.335266,0.331594,0.052286,2143.542,38025
139,0.359739,0.008226,0.378610,0.376127,0.057581,2896.615,38026
129,0.324193,0.008338,0.370172,0.366946,0.058652,2518.174,38027
116,0.303209,0.008399,0.365576,0.362793,0.057044,2511.241,38028
162,0.327131,0.008402,0.365339,0.362169,0.056006,3009.135,38029
147,0.341192,0.008152,0.384212,0.381206,0.055701,2829.756,38030
144,0.327437,0.008258,0.376195,0.372812,0.056595,2667.241,38031
86,0.337068,0.008397,0.365674,0.362970,0.054328,2167.493,38032
109,0.334070,0.008373,0.367498,0.364603,0.056642,2356.751,38033
