best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
90,0.875580,0.001315,0.904487,0.904867,0.013197,284.264,4025
131,0.876065,0.001323,0.903900,0.904330,0.013058,366.790,4026
115,0.876060,0.001321,0.904032,0.904434,0.013106,333.259,4027
119,0.877714,0.001408,0.897709,0.898064,0.013683,313.588,4028
137,0.879035,0.001340,0.902692,0.903090,0.013386,361.617,4029
113,0.873849,0.001411,0.897532,0.898004,0.014115,345.146,4030
107,0.877460,0.001378,0.899923,0.900305,0.013674,329.254,4031
113,0.878820,0.001444,0.895127,0.895380,0.013331,355.463,4032
135,0.876532,0.001373,0.900307,0.900698,0.013816,378.784,4033
123,0.876781,0.001373,0.900246,0.900626,0.013028,347.152,4034
