best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
162,0.880082,0.001384,0.899438,0.899263,0.011621,1925.402,32025
173,0.890516,0.001211,0.912039,0.912084,0.010524,1980.651,32026
160,0.873206,0.001345,0.902296,0.902139,0.012104,1838.122,32027
160,0.893245,0.001266,0.908018,0.907934,0.011455,1907.809,32028
146,0.889902,0.001424,0.896605,0.897090,0.013814,1750.394,32029
135,0.890933,0.001504,0.890727,0.891134,0.014801,1761.725,32030
141,0.890231,0.001254,0.908922,0.908862,0.010103,1688.791,32031
141,0.865386,0.001789,0.870036,0.870090,0.016132,1684.568,32032
139,0.894996,0.001263,0.908254,0.908329,0.011012,1739.132,32033
118,0.869751,0.001456,0.894234,0.894019,0.013158,1575.664,32034
