best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
90,0.799144,0.002795,0.783318,0.783617,0.028253,321.065,2625
112,0.798651,0.002716,0.789407,0.789694,0.028732,315.974,2626
113,0.796986,0.002823,0.781109,0.781527,0.029341,331.399,2627
113,0.800959,0.002648,0.794711,0.795104,0.027452,347.700,2628
146,0.802240,0.002618,0.797037,0.797523,0.028248,405.691,2629
109,0.799665,0.002746,0.787129,0.787682,0.028025,288.252,2630
121,0.801574,0.002755,0.786411,0.786860,0.029066,333.378,2631
111,0.802649,0.002631,0.796043,0.796515,0.026267,354.139,2632
99,0.800176,0.002686,0.791743,0.792198,0.027620,281.440,2633
128,0.801889,0.002721,0.789021,0.789382,0.028590,342.019,2634
