Rc,rep,seed,best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec
1.5,8,3533,96,0.846703,0.002204,0.829145,0.828830,0.023691,479.142
1.5,9,3534,84,0.840270,0.002153,0.833089,0.832615,0.022498,430.894
1.6,0,3625,57,0.849216,0.002254,0.825273,0.825236,0.023829,431.052
1.6,1,3626,52,0.842650,0.002310,0.820930,0.820835,0.023435,434.451
1.6,2,3627,48,0.846554,0.002265,0.824382,0.824590,0.022737,418.569
1.6,3,3628,69,0.850214,0.002121,0.835565,0.835427,0.021533,455.587
1.6,4,3629,93,0.854635,0.001967,0.847491,0.847128,0.020156,532.992
1.6,5,3630,73,0.841486,0.002318,0.820288,0.820460,0.023440,523.400
1.6,6,3631,92,0.853921,0.001995,0.845333,0.844871,0.019797,504.217
1.6,7,3632,80,0.852026,0.002036,0.842136,0.841934,0.019989,453.863
1.6,8,3633,73,0.848272,0.002098,0.837321,0.837241,0.020269,452.913
1.6,9,3634,50,0.842549,0.002406,0.813460,0.813478,0.025698,436.516
2.0,0,4025,78,0.864587,0.002019,0.843494,0.842659,0.021158,529.954
2.0,1,4026,101,0.861720,0.001798,0.860617,0.859452,0.018936,582.776
2.0,2,4027,70,0.862822,0.001914,0.851592,0.850814,0.019032,493.650
2.0,3,4028,105,0.863311,0.001811,0.859579,0.858430,0.019672,570.851
2.0,4,4029,50,0.860742,0.002064,0.839994,0.839211,0.019069,515.019
2.0,5,4030,63,0.864089,0.001886,0.853781,0.852917,0.018907,552.453
2.0,6,4031,57,0.856778,0.002081,0.838684,0.837879,0.020602,494.068
2.0,7,4032,47,0.855313,0.002105,0.836800,0.836115,0.020338,461.293
2.0,8,4033,56,0.857394,0.002121,0.835562,0.834683,0.018502,499.999
2.0,9,4034,57,0.859127,0.002009,0.844266,0.843528,0.020226,476.029
2.5,0,4525,83,0.866801,0.001902,0.852561,0.851366,0.019169,607.654
2.5,1,4526,89,0.864307,0.001941,0.849523,0.848243,0.021720,668.324
