best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
159,0.881341,0.001579,0.877584,0.876934,0.016763,2725.890,26025
68,0.875347,0.001647,0.872270,0.871384,0.017623,1762.185,26026
39,0.875856,0.001781,0.861911,0.861027,0.018473,1481.208,26027
80,0.869806,0.001677,0.869967,0.869162,0.017355,1859.875,26028
84,0.876590,0.001679,0.869825,0.868990,0.017800,1736.187,26029
73,0.879051,0.001786,0.861553,0.860575,0.017980,1844.086,26030
47,0.872599,0.001756,0.863890,0.863070,0.018464,1626.110,26031
110,0.880558,0.001545,0.880225,0.879590,0.016735,1946.587,26032
87,0.880576,0.001582,0.877351,0.876704,0.017300,1861.886,26033
83,0.873587,0.001604,0.875599,0.874746,0.016852,1812.814,26034
