best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
59,0.847908,0.001900,0.852682,0.852074,0.019387,917.181,7025
57,0.824340,0.002147,0.833508,0.832958,0.023268,955.221,7026
62,0.823445,0.002225,0.827498,0.827025,0.022434,1023.557,7027
67,0.826133,0.002051,0.840954,0.840643,0.020669,1018.062,7028
72,0.827997,0.002022,0.843224,0.842748,0.022258,1065.404,7029
69,0.832204,0.002103,0.836951,0.836457,0.021814,1042.431,7030
82,0.830557,0.002032,0.842482,0.842202,0.020289,1101.594,7031
68,0.845609,0.002029,0.842676,0.842119,0.021193,1138.595,7032
73,0.832879,0.001982,0.846350,0.845752,0.020058,1019.680,7033
62,0.820745,0.002028,0.842787,0.842270,0.020366,971.641,7034
