best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
149,0.801893,0.003772,0.707528,0.705536,0.038949,1146.623,9025
151,0.837142,0.003188,0.752813,0.750900,0.035637,1330.029,9026
146,0.760809,0.003947,0.693941,0.692089,0.039190,1084.323,9027
141,0.825690,0.003465,0.731360,0.729407,0.036599,1142.570,9028
163,0.812824,0.003634,0.718235,0.716017,0.044392,1169.385,9029
201,0.841908,0.002960,0.770539,0.769025,0.033716,1458.240,9030
177,0.815953,0.003497,0.728869,0.726980,0.036437,1312.103,9031
122,0.829648,0.003220,0.750349,0.747985,0.036261,1140.883,9032
206,0.847053,0.002883,0.776436,0.774583,0.034508,1467.168,9033
174,0.831733,0.003235,0.749169,0.747262,0.033592,1307.197,9034
