best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
146,0.829801,0.002221,0.827779,0.827907,0.024031,1142.531,9025
91,0.827474,0.002348,0.817939,0.818192,0.023768,972.233,9026
144,0.830575,0.002226,0.827415,0.827732,0.023002,1142.733,9027
112,0.818673,0.002433,0.811336,0.811647,0.024470,1039.133,9028
91,0.827028,0.002209,0.828750,0.828983,0.022486,872.135,9029
71,0.820073,0.002548,0.802482,0.802892,0.027610,848.519,9030
89,0.838669,0.002237,0.826588,0.826879,0.023052,984.830,9031
94,0.835005,0.002273,0.823735,0.823902,0.023581,1025.655,9032
123,0.816922,0.002318,0.820293,0.820652,0.024003,976.057,9033
116,0.830075,0.002303,0.821480,0.821744,0.024301,1125.786,9034
