Rc,rep,seed,best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec
4.0,8,6033,75,0.776018,0.002925,0.775851,0.774787,0.026582,383.558
4.0,9,6034,192,0.885325,0.001507,0.884509,0.883574,0.014398,762.365
5.0,0,7025,166,0.865772,0.001652,0.873378,0.872576,0.015750,843.335
5.0,1,7026,184,0.814787,0.002232,0.828928,0.827762,0.020335,932.231
5.0,2,7027,178,0.851597,0.001868,0.856859,0.856047,0.017203,899.784
5.0,3,7028,189,0.862801,0.001697,0.869954,0.869100,0.016130,951.969
5.0,4,7029,184,0.856134,0.001757,0.865354,0.864535,0.016075,929.042
5.0,5,7030,206,0.859124,0.001762,0.864955,0.864182,0.016138,1034.778
5.0,6,7031,181,0.857989,0.001681,0.871137,0.870321,0.015644,904.800
5.0,7,7032,160,0.858145,0.001745,0.866281,0.865513,0.016640,800.782
5.0,8,7033,171,0.860171,0.001723,0.867976,0.867164,0.016092,849.456
5.0,9,7034,193,0.868423,0.001612,0.876418,0.875608,0.015243,956.446
6.0,0,8025,196,0.844448,0.001973,0.848802,0.847847,0.018691,1208.304
6.0,1,8026,226,0.854669,0.001867,0.856890,0.855853,0.017457,1400.424
6.0,2,8027,220,0.864685,0.001769,0.864412,0.863635,0.016849,1363.290
6.0,3,8028,219,0.813836,0.002275,0.825639,0.824133,0.022033,1358.067
6.0,4,8029,234,0.872157,0.001625,0.875420,0.874567,0.015724,1438.721
6.0,5,8030,227,0.867643,0.001745,0.866245,0.865443,0.016571,1374.846
6.0,6,8031,129,0.767129,0.002926,0.775755,0.774122,0.027577,800.266
6.0,7,8032,260,0.867338,0.001774,0.864043,0.863108,0.017094,1573.851
6.0,8,8033,179,0.849411,0.001926,0.852409,0.851435,0.018314,1092.399
6.0,9,8034,140,0.767044,0.003018,0.768718,0.767157,0.027698,860.380
7.0,0,9025,108,0.693811,0.003714,0.715385,0.712510,0.033006,820.964
7.0,1,9026,238,0.812264,0.002231,0.829009,0.827163,0.021086,1775.567
7.0,2,9027,151,0.728680,0.003317,0.745809,0.743434,0.029404,1145.663
7.0,3,9028,182,0.820277,0.002308,0.823110,0.821629,0.021198,1373.339
7.0,4,9029,239,0.793522,0.002447,0.812435,0.811077,0.021989,1791.285
7.0,5,9030,215,0.860415,0.001804,0.861771,0.860617,0.016385,1617.349
7.0,6,9031,102,0.696188,0.003647,0.720481,0.717609,0.031864,780.021
7.0,7,9032,222,0.810943,0.002305,0.823351,0.822180,0.019510,1650.427
7.0,8,9033,245,0.816490,0.002385,0.817217,0.816010,0.022113,1809.599
7.0,9,9034,232,0.856362,0.001813,0.861032,0.860084,0.016061,1704.820
